bse_symbol,nse_symbol
HNDFDS,HNDFDS
NAHARINDUS,NAHARINDUS
VADILALIND,VADILALIND
ADFFOODS,ADFFOODS
WILLAMAGOR,WILLAMAGOR
SANWARIA,SANWARIA
VIKASWSP,VIKASWSP
ANIKINDS,ANIKINDS
NKIND,NKIND
HERITGFOOD,HERITGFOOD
DFM,DFMFOODS
CCL,CCL
KELLTONTEC,KELLTONTEC
RICOAUTO,RICOAUTO
OMAXAUTO,OMAXAUTO
MUNJALSHOW,MUNJALSHOW
JAMNAAUTO,JAMNAAUTO
SUNCLAYLTD,SUNCLAYLTD
JTEKTINDIA,JTEKTINDIA
MUNJALAU,MUNJALAU
JAYBARMARU,JAYBARMARU
SICAL,SICAL
RATNAMANI,RATNAMANI
VESUVIUS,VESUVIUS
ASAL,ASAL
SHREYAS,SHREYAS
EUROTEXIND,EUROTEXIND
ICIL,ICIL
MARALOVER,MARALOVER
SOMATEX,SOMATEX
TRIDENT,TRIDENT
ALOKTEXT,ALOKINDS
SPENTEX,SPENTEX
NAGREEKEXP,NAGREEKEXP
ZODIACLOTH,ZODIACLOTH
SUPERSPIN,SUPERSPIN
SILINV,SILINV
SURYALAXMI,SURYALAXMI
DAMOINDUS,DAMODARIND
KITEX,KITEX
UNIDT,UNIDT
WINDMACHIN,WINDMACHIN
SHANTIGEAR,SHANTIGEAR
HONDAPOWER,HONDAPOWER
HITECHGEAR,HITECHGEAR
ELGIEQUIP,ELGIEQUIP
TIMKEN,TIMKEN
PRAJIND,PRAJIND
HLEGLAS,HLEGLAS
GUJAPOLLO,GUJAPOLLO
MMFL,MMFL
MAYURUNIQ,MAYURUNIQ
JMCPROJECT,JMCPROJECT
GET&D,GET&D
JAYNECOIND,JAYNECOIND
KALPATPOWR,KALPATPOWR
CONTROLPR,CONTROLPR
WEIZMANIND,WEIZMANIND
SAFARIND,SAFARI
EIHAHOTELS,EIHAHOTELS
ABAN,ABAN
KOKUYOCMLN,KOKUYOCMLN
PEARLPOLY,PEARLPOLY
VENKYS,VENKEYS
ADVANIHOTR,ADVANIHOTR
SUPERHOUSE,SUPERHOUSE
TCPLPACK,TCPLPACK
BALMLAWRIE,BALMLAWRIE
DCMSHRIRAM,DCMSHRIRAM
MAWANASUG,MAWANASUG
MAHAPEXLTD,MAHAPEXLTD
NILKAMAL,NILKAMAL
NAHARPOLY,NAHARPOLY
3MINDIA,3MINDIA
JCHAC,JCHAC
JMFINANCIL,JMFINANCIL
TNTELE,TNTELE
RIIL,RIIL
LINDEINDIA,LINDEINDIA
PRECWIRE,PRECWIRE
FEL,FEL
SCI,SCI
ITI,ITI
DREDGECORP,DREDGECORP
PODDAR,PODDARHOUS
NFL,NFL
PIIND,PIIND
PLASTIBLEN,PLASTIBLEN
WATERBASE,WATERBASE
APCOTEXIND,APCOTEXIND
MASTEK,MASTEK
EIMCOELECO,EIMCOELECO
ASHIANA,ASHIANA
DVL,DVL
MAHEPC,MAHEPC
SREINFRA,SREINFRA
MAZDALTD,MAZDA
VICEROY,VICEROY
MENONBE,MENONBE
GUJRAFIA,GUJRAFFIA
SIMPLEXINF,SIMPLEXINF
MAGMA,MAGMA
KINGFA,KINGFA
POLYPLEX,POLYPLEX
ALBERTDA,ALBERTDAVD
ACRYSIL,ACRYSIL
KABRAEXTRU,KABRAEXTRU
VINYLINDIA,VINYLINDIA
IOLCP,IOLCP
VINATIORGA,VINATIORGA
AARTIIND,AARTIIND
WANBURY,WANBURY
GAEL,GAEL
RCF,RCF
KOPRAN,KOPRAN
SEYAIND,SEYAIND
JAYAGROGN,JAYAGROGN
BCLIL,BCLIND
AARTIDRUGS,AARTIDRUGS
BODALCHEM,BODALCHEM
ORCHIDPHAR,ORCHPHARMA
VIMTALABS,VIMTALABS
BIOFILCHEM,BIOFILCHEM
MARKSANS,MARKSANS
IPCALAB,IPCALAB
KILITCH,KILITCH
KREBSBIO,KREBSBIO
NEULANDLAB,NEULANDLAB
PODARPIGQ,PODDARMENT
AKSCHEM,AKSHARCHEM
SOTL,SOTL
HESTERBIO,HESTERBIO
NACLIND,NACLIND
SUNPHARMA,SUNPHARMA
HIKAL,HIKAL
CAPPL,CAPLIPOINT
AUROPHARMA,AUROPHARMA
NATCOPHARM,NATCOPHARM
PANAMAPET,PANAMAPET
BALPHARMA,BALPHARMA
CUBEXTUB,CUBEXTUB
HITECHCORP,HITECHCORP
FILATEX,FILATEX
MERCATOR,MERCATOR
PREMEXPLQ,PREMEXPLN
MOLDTEK,MOLDTECH
MPHASIS,MPHASIS
