instrument_token_x,exchange_token_x,tradingsymbol_x,name,last_price_x,expiry_x,strike_x,tick_size_x,lot_size_x,instrument_type_x,segment_x,exchange_x,instrument_token_y,exchange_token_y,tradingsymbol_y,last_price_y,expiry_y,strike_y,tick_size_y,lot_size_y,instrument_type_y,segment_y,exchange_y
1897217,7411,NILASPACES,NILA SPACES,0.0,,0.0,0.05,1,EQ,NSE,NSE,138811140,542231,NILASPACES,0.0,,0.0,0.01,1,EQ,BSE,BSE
3924993,15332,NMDC,NMDC.,0.0,,0.0,0.05,1,EQ,NSE,NSE,134750980,526371,NMDC,0.0,,0.0,0.05,1,EQ,BSE,BSE
3724033,14547,NXTDIGITAL,NXTDIGITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,128048388,500189,NXTDIGITAL,0.0,,0.0,0.05,1,EQ,BSE,BSE
2756609,10768,OAL,ORIENTAL AROMATICS,0.0,,0.0,0.05,1,EQ,NSE,NSE,128019972,500078,OAL,0.0,,0.0,0.05,1,EQ,BSE,BSE
2723073,10637,OLECTRA,OLECTRA GREENTECH,0.0,,0.0,0.05,1,EQ,NSE,NSE,136304388,532439,OLECTRA,0.0,,0.0,0.05,1,EQ,BSE,BSE
6203137,24231,OMINFRAL,OM INFRA,0.0,,0.0,0.05,1,EQ,NSE,NSE,135959556,531092,OMINFRAL,0.0,,0.0,0.05,1,EQ,BSE,BSE
5496065,21469,OPTIEMUS,OPTIEMUS INFRACOM,0.0,,0.0,0.05,1,EQ,NSE,NSE,135714564,530135,OPTIEMUS,0.0,,0.0,0.05,1,EQ,BSE,BSE
3655169,14278,ORIENTBELL,ORIENT BELL,0.0,,0.0,0.05,1,EQ,NSE,NSE,135773444,530365,ORIENTBELL,0.0,,0.0,0.05,1,EQ,BSE,BSE
762625,2979,ORTINLAB,ORTIN LABORATORIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,138057476,539287,ORTINLAABS,0.0,,0.0,0.05,1,EQ,BSE,BSE
6519809,25468,PAISALO,PAISALO DIGITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,136422404,532900,PAISALO,0.0,,0.0,0.05,1,EQ,BSE,BSE
4367873,17062,PALREDTEC,PALRED TECHNOLOGIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,136325380,532521,PALRED,0.0,,0.0,0.05,1,EQ,BSE,BSE
2994945,11699,PATELENG,PATEL ENGINEERING.,0.0,,0.0,0.05,1,EQ,NSE,NSE,135966724,531120,PATELENG,0.0,,0.0,0.05,1,EQ,BSE,BSE
