Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, FACE VALUE
505400,,TEXINFRA,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.,Active,B ,1.0,INE435C01024,Realty,Equity,TEXINFRA,Texmaco Infrastructure & Holdings Limited,EQ,09-SEP-2004,1,1,1
505412,,WENDT,WENDT (INDIA) LTD.,Active,B ,10.0,INE274C01019,Industrial Machinery,Equity,WENDT,Wendt (India) Limited,EQ,07-AUG-2006,10,1,10
505509,,RESPONIND,RESPONSIVE INDUSTRIES LTD.,Active,A ,1.0,INE688D01026,Furniture-Furnishing-Paints,Equity,RESPONIND,Responsive Industries Limited,EQ,29-OCT-2010,1,1,1
505526,,DOLAT,DOLAT INVESTMENTS LTD.,Active,B ,1.0,INE966A01022,Other Financial Services,Equity,DOLAT,Dolat Investments Limited,EQ,19-AUG-2019,1,1,1
505533,,WESTLIFE,WESTLIFE DEVELOPMENT LTD.,Active,A ,2.0,INE274F01020,Restaurants,Equity,WESTLIFE,Westlife Development Ltd,EQ,19-AUG-2019,2,1,2
505537,,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.,Active,A ,1.0,INE256A01028,Broadcasting & Cable TV,Equity,ZEEL,Zee Entertainment Enterprises Limited,EQ,09-SEP-1998,1,1,1
505688,,BHARATGEAR,BHARAT GEARS LTD.,Active,B ,10.0,INE561C01019,Auto Parts & Equipment,Equity,BHARATGEAR,Bharat Gears Limited,EQ,03-APR-1996,10,1,10
505700,,ELECON,ELECON ENGINEERING CO.LTD.,Active,B ,2.0,INE205B01023,Industrial Machinery,Equity,ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,2,1,2
505714,,GABRIEL,GABRIEL INDIA LTD.-$,Active,A ,1.0,INE524A01029,Auto Parts & Equipment,Equity,GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1,1,1
505720,,HERCULES,HERCULES HOISTS LTD.,Active,B ,1.0,INE688E01024,Industrial Machinery,Equity,HERCULES,Hercules Hoists Limited,EQ,19-FEB-2008,1,1,1
505726,,IFBIND,IFB INDUSTRIES LTD.,Active,A ,10.0,INE559A01017,Household Appliances,Equity,IFBIND,IFB Industries Limited,EQ,29-MAR-1995,10,1,10
505744,,FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LTD.,Active,A ,10.0,INE529A01010,Auto Parts & Equipment,Equity,FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,10
505790,,SCHAEFFLER,Schaeffler India Ltd,Active,A ,10.0,INE513A01014,Industrial Machinery,Equity,SCHAEFFLER,Schaeffler India Limited,EQ,29-NOV-2000,10,1,10
505800,,RANEHOLDIN,RANE HOLDINGS LTD.,Active,A ,10.0,INE384A01010,Auto Parts & Equipment,Equity,RANEHOLDIN,Rane Holdings Limited,EQ,24-SEP-1997,10,1,10
505854,,TRF,TRF LTD.-$,Active,B ,10.0,INE391D01019,Industrial Machinery,Equity,TRF,TRF Limited,EQ,26-MAR-2010,10,1,10
505890,,KENNAMET,KENNAMETAL INDIA LTD.-$,Active,A ,10.0,INE717A01029,Industrial Machinery,Equity,KENNAMET,Kennametal India Limited,EQ,03-NOV-1994,10,1,10
506022,,PRAKASH,PRAKASH INDUSTRIES LTD.,Active,A ,10.0,INE603A01013,Iron & Steel/Interm.Products,Equity,PRAKASH,Prakash Industries Limited,EQ,10-MAY-1995,10,1,10
506074,,ARSHIYA,Arshiya Limited,Active,B ,2.0,INE968D01022,Transportation - Logistics,Equity,ARSHIYA,Arshiya Limited,EQ,14-DEC-2009,2,1,2
506076,,GRINDWELL,GRINDWELL NORTON LTD.-$,Active,A ,5.0,INE536A01023,Other Industrial Products,Equity,GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,5,1,5
506079,,LAKPRE,LAKSHMI PRECISION SCREWS LTD.,Active,Z ,10.0,INE651C01018,Iron & Steel Products,Equity,LAKPRE,Lakshmi Precision Screws Limited,BZ,26-SEP-2006,10,1,10
506109,,GENESYS,GENESYS INTERNATIONAL CORPORATION LTD.,Active,B ,5.0,INE727B01026,IT Software Products,Equity,GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5,1,5
506146,,VIVIDHA,VISAGAR POLYTEX LTD.,Active,T ,1.0,INE370E01029,Textiles,Equity,VIVIDHA,Visagar Polytex Limited,BE,21-MAY-2013,1,1,1
506184,,KANANIIND,KANANI INDUSTRIES LTD.,Active,B ,1.0,INE879E01037,Other Apparels & Accessories,Equity,KANANIIND,Kanani Industries Limited,EQ,14-DEC-2011,1,1,1
506194,,ASL,Arihant Superstructures Limited,Active,T ,10.0,INE643K01018,Realty,Equity,ARIHANTSUP,Arihant Superstructures Limited,BE,28-MAR-2017,10,1,10
506197,,BLISSGVS,BLISS GVS PHARMA LTD.,Active,A ,1.0,INE416D01022,Pharmaceuticals,Equity,BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1,1,1
506222,,INEOSSTYRO,INEOS Styrolution India Ltd,Active,B ,10.0,INE189B01011,Specialty Chemicals,Equity,INEOSSTYRO,INEOS Styrolution India Limited,EQ,29-MAR-1995,10,1,10
506235,,ALEMBICLTD,ALEMBIC LTD.,Active,A ,2.0,INE426A01027,Pharmaceuticals,Equity,ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,2
506261,,MODISNME,MODISON METALS LTD.-$,Active,B ,1.0,INE737D01021,Other Elect.Equip./ Prod.,Equity,MODISNME,Modison Metals Limited,EQ,03-MAY-2021,1,1,1
506285,,BAYERCROP,BAYER CROPSCIENCE LTD.,Active,A ,10.0,INE462A01022,Agrochemicals,Equity,BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,10
